scanning_run;onset;duration;trial_type;stim_file;jitter;concept
7;325,2476776;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;7;Sincere
7;338,0676428;3,5;nonaffective_unlikable;socialcon_audios.phony_r.wav;6;Phony
7;349,8876263;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;7,5;Loyal
7;363,6375945;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6,5;Enthusiastic
7;375,9675673;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;6;Irresponsible
7;387,7875485;3,5;affective_unlikable;socialcon_audios.resentful.wav;6;Resentful
7;399,5975187;3,5;affective_unlikable;socialcon_audios.envious.wav;6;Envious
7;411,8474948;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;7,5;Helpful
7;425,1574587;3,5;affective_likable;socialcon_audios.good-natured.wav;6;Good-natured
7;436,9774108;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;6;Lazy
8;2,257784549;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6;Cruel
8;14,26784369;3,5;affective_likable;socialcon_audios.sympathetic.wav;8;Sympathetic
8;28,37780681;3,5;nonaffective_unlikable;socialcon_audios.rude_r.wav;6;Rude
8;40,19777261;3,5;nonaffective_likable;socialcon_audios.intelligent.wav;7,5;Intelligent
8;53,86774022;3,5;nonaffective_unlikable;socialcon_audios.phony_r.wav;7;Phony
8;66,67771609;3,5;nonaffective_likable;socialcon_audios.understanding.wav;6;Understanding
8;78,9276813;3,5;affective_unlikable;socialcon_audios.hot-tempered.wav;7;Hot-tempered
8;92,17766579;3,5;affective_likable;socialcon_audios.kind.wav;6;Kind
8;104,4176288;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;6,5;Lazy
8;116,7475996;3,5;affective_likable;socialcon_audios.sensible_r.wav;6;Sensible
8;128,7376013;3,5;nonaffective_likable;socialcon_audios.unselfish_r.wav;6,5;Unselfish
8;141,4075503;3,5;affective_unlikable;socialcon_audios.resentful.wav;6;Resentful
8;153,2375675;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6;Cruel
8;165,2475312;3,5;nonaffective_unlikable;socialcon_audios.boring_r.wav;6;Boring
8;177,4675171;3,5;nonaffective_likable;socialcon_audios.clever_r.wav;7;Clever
8;190,7174327;3,5;affective_likable;socialcon_audios.warm-hearted.wav;6,5;Warm-hearted
8;203,0374043;3,5;affective_unlikable;socialcon_audios.envious.wav;6;Envious
8;215,2873813;3,5;affective_likable;socialcon_audios.cheerful.wav;6,5;Cheerful
8;227,6173663;3,5;nonaffective_likable;socialcon_audios.forgiving_r.wav;6;Forgiving
8;239,6373428;3,5;nonaffective_unlikable;socialcon_audios.prejudiced_r.wav;6;Prejudiced
8;251,8472903;3,5;nonaffective_unlikable;socialcon_audios.greedy_r.wav;6;Greedy
8;264,0972701;3,5;affective_unlikable;socialcon_audios.insensitive_r.wav;7;Insensitive
8;276,9172441;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6;Enthusiastic
8;288,7372159;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;6,5;Helpful
8;301,0671854;3,5;affective_unlikable;socialcon_audios.snobbish.wav;6;Snobbish
8;312,8371553;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;6;Irresponsible
8;324,6571351;3,5;affective_likable;socialcon_audios.grateful.wav;6,5;Grateful
8;336,9670983;3,5;nonaffective_likable;socialcon_audios.conscientious_r.wav;6;Conscientious
8;348,7871296;3,5;affective_likable;socialcon_audios.good-natured.wav;7,5;Good-natured
8;362,1170952;3,5;affective_unlikable;socialcon_audios.gloomy_r.wav;6,5;Gloomy
8;374,8670028;3,5;nonaffective_unlikable;socialcon_audios.selfish_r.wav;6,5;Selfish
8;387,6170186;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;6;Sincere
8;399,4369477;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;7;Loyal
8;412,6869173;3,5;affective_likable;socialcon_audios.empathetic_r.wav;6;Empathetic
8;424,9368741;3,5;nonaffective_unlikable;socialcon_audios.hostile_r.wav;6;Hostile
8;436,7468711;3,5;affective_unlikable;socialcon_audios.Unforgiving_r.wav;6;Unforgiving
